4497.60101	0.10167
4495.67236	0.10167
4493.74372	0.10167
4491.81507	0.10167
4489.88643	0.10167
4487.95778	0.10649
4486.02914	0.11221
4484.10049	0.11771
4482.17185	0.12135
4480.24320	0.12139
4478.31455	0.11871
4476.38591	0.11397
4474.45726	0.10809
4472.52862	0.10240
4470.59997	0.09836
4468.67133	0.09689
4466.74268	0.09817
4464.81404	0.10178
4462.88539	0.10682
4460.95675	0.11168
4459.02810	0.11470
4457.09946	0.11499
4455.17081	0.11266
4453.24216	0.10864
4451.31352	0.10448
4449.38487	0.10167
4447.45623	0.10073
4445.52758	0.10106
4443.59894	0.10174
4441.67029	0.10205
4439.74165	0.10155
4437.81300	0.10018
4435.88436	0.09840
4433.95571	0.09686
4432.02707	0.09635
4430.09842	0.09778
4428.16978	0.10151
4426.24113	0.10663
4424.31248	0.11118
4422.38384	0.11328
4420.45519	0.11206
4418.52655	0.10811
4416.59790	0.10324
4414.66926	0.09945
4412.74061	0.09754
4410.81197	0.09700
4408.88332	0.09702
4406.95468	0.09718
4405.02603	0.09772
4403.09739	0.09925
4401.16874	0.10197
4399.24009	0.10502
4397.31145	0.10706
4395.38280	0.10755
4393.45416	0.10702
4391.52551	0.10633
4389.59687	0.10614
4387.66822	0.10682
4385.73958	0.10804
4383.81093	0.10875
4381.88229	0.10815
4379.95364	0.10635
4378.02500	0.10392
4376.09635	0.10133
4374.16770	0.09902
4372.23906	0.09755
4370.31041	0.09725
4368.38177	0.09803
4366.45312	0.09941
4364.52448	0.10060
4362.59583	0.10100
4360.66719	0.10085
4358.73854	0.10117
4356.80990	0.10297
4354.88125	0.10662
4352.95261	0.11150
4351.02396	0.11595
4349.09531	0.11815
4347.16667	0.11740
4345.23802	0.11458
4343.30938	0.11136
4341.38073	0.10928
4339.45209	0.10902
4337.52344	0.10999
4335.59480	0.11082
4333.66615	0.11058
4331.73751	0.10936
4329.80886	0.10801
4327.88022	0.10761
4325.95157	0.10883
4324.02292	0.11134
4322.09428	0.11393
4320.16563	0.11544
4318.23699	0.11551
4316.30834	0.11464
4314.37970	0.11381
4312.45105	0.11376
4310.52241	0.11436
4308.59376	0.11456
4306.66512	0.11325
4304.73647	0.11014
4302.80783	0.10595
4300.87918	0.10201
4298.95054	0.09959
4297.02189	0.09925
4295.09324	0.10056
4293.16460	0.10269
4291.23595	0.10520
4289.30731	0.10812
4287.37866	0.11147
4285.45002	0.11487
4283.52137	0.11756
4281.59273	0.11867
4279.66408	0.11783
4277.73544	0.11547
4275.80679	0.11264
4273.87815	0.11052
4271.94950	0.11003
4270.02085	0.11136
4268.09221	0.11368
4266.16356	0.11568
4264.23492	0.11648
4262.30627	0.11573
4260.37763	0.11339
4258.44898	0.11024
4256.52034	0.10790
4254.59169	0.10759
4252.66305	0.10927
4250.73440	0.11215
4248.80576	0.11532
4246.87711	0.11763
4244.94846	0.11808
4243.01982	0.11656
4241.09117	0.11379
4239.16253	0.11062
4237.23388	0.10783
4235.30524	0.10626
4233.37659	0.10641
4231.44795	0.10799
4229.51930	0.11013
4227.59066	0.11186
4225.66201	0.11229
4223.73337	0.11085
4221.80472	0.10777
4219.87607	0.10420
4217.94743	0.10133
4216.01878	0.09990
4214.09014	0.10017
4212.16149	0.10191
4210.23285	0.10422
4208.30420	0.10582
4206.37556	0.10605
4204.44691	0.10509
4202.51827	0.10352
4200.58962	0.10196
4198.66098	0.10123
4196.73233	0.10193
4194.80368	0.10399
4192.87504	0.10682
4190.94639	0.10980
4189.01775	0.11240
4187.08910	0.11403
4185.16046	0.11428
4183.23181	0.11319
4181.30317	0.11121
4179.37452	0.10889
4177.44588	0.10670
4175.51723	0.10505
4173.58859	0.10422
4171.65994	0.10408
4169.73130	0.10434
4167.80265	0.10482
4165.87400	0.10557
4163.94536	0.10663
4162.01671	0.10792
4160.08807	0.10936
4158.15942	0.11067
4156.23078	0.11114
4154.30213	0.11004
4152.37349	0.10728
4150.44484	0.10354
4148.51620	0.09989
4146.58755	0.09752
4144.65891	0.09742
4142.73026	0.09964
4140.80161	0.10306
4138.87297	0.10616
4136.94432	0.10807
4135.01568	0.10871
4133.08703	0.10842
4131.15839	0.10783
4129.22974	0.10754
4127.30110	0.10754
4125.37245	0.10717
4123.44381	0.10596
4121.51516	0.10421
4119.58652	0.10269
4117.65787	0.10213
4115.72922	0.10294
4113.80058	0.10504
4111.87193	0.10755
4109.94329	0.10920
4108.01464	0.10904
4106.08600	0.10694
4104.15735	0.10367
4102.22871	0.10051
4100.30006	0.09879
4098.37142	0.09928
4096.44277	0.10172
4094.51413	0.10512
4092.58548	0.10835
4090.65683	0.11063
4088.72819	0.11181
4086.79954	0.11217
4084.87090	0.11214
4082.94225	0.11202
4081.01361	0.11191
4079.08496	0.11176
4077.15632	0.11149
4075.22767	0.11108
4073.29903	0.11058
4071.37038	0.11005
4069.44174	0.10963
4067.51309	0.10976
4065.58444	0.11098
4063.65580	0.11329
4061.72715	0.11594
4059.79851	0.11784
4057.86986	0.11812
4055.94122	0.11647
4054.01257	0.11347
4052.08393	0.11051
4050.15528	0.10883
4048.22664	0.10863
4046.29799	0.10919
4044.36935	0.10944
4042.44070	0.10861
4040.51206	0.10640
4038.58341	0.10305
4036.65476	0.09941
4034.72612	0.09646
4032.79747	0.09478
4030.86883	0.09440
4028.94018	0.09513
4027.01154	0.09684
4025.08289	0.09928
4023.15425	0.10205
4021.22560	0.10502
4019.29696	0.10828
4017.36831	0.11160
4015.43967	0.11421
4013.51102	0.11539
4011.58237	0.11479
4009.65373	0.11249
